"Category","Annual Mean","5-yr smooth"
1901,22.23,22.45
1902,22.51,22.34
1903,22.32,22.23
1904,22.13,22.13
1905,22.19,22.04
1906,21.81,21.98
1907,21.82,21.93
1908,22.25,21.91
1909,21.72,21.89
1910,21.61,21.87
1911,21.82,21.85
1912,21.82,21.81
1913,21.74,21.76
1914,21.94,21.7
1915,21.89,21.66
1916,21.7,21.64
1917,21.5,21.67
1918,21.64,21.74
1919,21.75,21.85
1920,21.76,21.97
1921,22.31,22.1
1922,22.27,22.21
1923,22.23,22.29
1924,22.37,22.34
1925,22.31,22.35
1926,22.46,22.33
1927,22.36,22.28
1928,22.48,22.2
1929,21.62,22.1
1930,21.7,22
1931,22.17,21.91
1932,21.93,21.85
1933,21.87,21.82
1934,21.85,21.84
1935,22.01,21.89
1936,21.93,21.97
1937,21.86,22.05
1938,22.08,22.12
1939,22.06,22.18
1940,22.35,22.21
1941,22.48,22.22
1942,22.21,22.23
1943,22.16,22.24
1944,22.28,22.25
1945,22.19,22.26
1946,22.24,22.27
1947,22.12,22.29
1948,22.35,22.31
1949,22.69,22.33
1950,21.98,22.34
1951,22.29,22.36
1952,22.57,22.37
1953,22.61,22.39
1954,22.45,22.4
1955,22.33,22.43
1956,22.05,22.44
1957,22.43,22.46
1958,22.64,22.45
1959,22.55,22.43
1960,22.32,22.38
1961,22.55,22.32
1962,22.12,22.24
1963,22,22.18
1964,22.06,22.13
1965,22.01,22.12
1966,22.49,22.14
1967,22.26,22.18
1968,21.91,22.24
1969,22.58,22.29
1970,22.39,22.32
1971,21.99,22.33
1972,22.36,22.32
1973,22.51,22.29
1974,22.11,22.27
1975,22.17,22.26
1976,22.32,22.27
1977,22.51,22.3
1978,22.32,22.34
1979,22.32,22.39
1980,22.39,22.43
1981,22.37,22.47
1982,22.42,22.49
1983,22.96,22.51
1984,22.39,22.52
1985,22.24,22.53
1986,22.36,22.54
1987,22.93,22.56
1988,22.8,22.58
1989,22.26,22.6
1990,22.68,22.63
1991,22.62,22.65
1992,22.7,22.66
1993,22.56,22.68
1994,22.73,22.7
1995,22.9,22.72
1996,22.66,22.74
1997,22.8,22.78
1998,23.01,22.82
1999,22.68,22.87
2000,22.74,22.91
2001,22.86,22.93
2002,23,22.94
2003,23.21,22.93
2004,22.78,22.91
2005,23.05,22.88
2006,22.75,22.85
2007,22.75,22.82
2008,22.58,22.81
2009,22.93,22.81
2010,23.13,22.82
2011,22.72,22.84
2012,22.72,22.86
2013,22.89,22.89
2014,22.83,22.92
2015,22.96,22.94
2016,23.12,22.97
2017,23.19,22.99
2018,22.77,23
2019,23.09,23.02
2020,23,23.02
2021,22.94,23.03
2022,22.86,23.03
2023,23.22,23.03